Index,Latitude,Longitude,2010,2011,2012,2013,2014,2015,2016,2017
0,24.66818,71.33144,8.475744247,8.86856842,9.202180862,6.023069859,10.78837395,6.647324562,7.387925148,5.180296421
1,24.66818,71.41106,24.02977753,28.55134773,25.86641502,21.63445854,34.41941071,27.36190796,40.43184662,42.1269455
2,24.66818,71.49069,44.83163452,66.11116791,56.98225784,53.00373459,70.91790771,42.51711655,59.18162918,73.20323181
3,24.66818,71.57031,59.97441864,80.82130432,78.95654297,63.16056061,93.51392365,70.20317078,74.53672028,101.0673523
4,24.66818,71.64994,14.6533699,19.32752419,21.92814445,17.89958572,19.53403473,19.16579056,16.53131485,26.08688545
5,24.66818,71.72956,17.41663933,35.81100082,26.00382614,27.34848213,29.59926796,22.02611351,23.59261703,41.74900055
6,24.66818,71.80919,23.56865692,37.37121582,38.29854965,27.83802223,40.77996063,32.0148735,37.77179718,55.00392914
7,24.66818,71.88882,48.34523392,91.21583557,91.90634155,41.12175369,57.26641083,60.26341248,72.29115295,29.41161346
8,24.66818,71.96844,58.78428268,50.20689774,60.70732117,37.59899902,59.46213913,38.78831482,31.31279564,37.49700928
9,24.66818,72.04807,67.90737915,68.37599945,87.02667999,54.60224152,78.11812592,44.79618835,36.00815201,52.54997635
10,24.66818,72.12769,8.916523933,16.67988586,21.61880493,13.55043888,15.40336704,7.133224964,7.731999874,9.861409187
11,24.66818,72.20732,3.416373968,2.891346216,3.826416016,3.098782063,6.333014011,4.840425491,4.729420662,7.909708977
12,24.66818,72.28694,2.298105955,2.16505146,1.780242443,2.644897223,5.368378639,4.42347908,4.019220352,7.00591135
13,24.66818,72.36657,0.405263782,0.146914423,0.168368369,0.251682848,0.180468485,0.131804183,0.170855775,0.177586645
14,24.58758,71.25181,0.378063947,1.557207942,0.267737508,0.703203917,0.31915012,0.268467546,0.407948494,0.952278614
15,24.58758,71.33144,45.17411041,67.93484497,58.22631454,35.26721954,55.58983994,34.76856995,29.41272354,26.50906563
16,24.58758,71.41106,56.53974152,83.33338165,81.21878815,59.40704346,85.44016266,78.99917603,94.71604919,85.23765564
17,24.58758,71.49069,139.3889465,161.7566071,149.984787,132.1486206,205.1426392,130.5792084,128.6074066,153.9760895
18,24.58758,71.57031,140.0259857,143.6766205,105.671814,105.9449081,175.587204,114.8936386,119.6863556,167.4338837
19,24.58758,71.64994,51.76260757,91.46440125,90.00948334,58.49711609,83.19333649,64.63090515,60.41845703,89.41933441
20,24.58758,71.72956,61.17729568,133.0115051,81.56877899,79.95115662,116.4289169,78.07914734,82.89323425,127.0603485
21,24.58758,71.80919,84.54468536,124.8478928,101.5861816,89.92281342,140.8546295,96.98707581,90.87753296,126.2838364
22,24.58758,71.88882,99.1736145,159.4914398,106.4774933,91.88571167,130.869339,106.9669266,116.8996277,101.8238525
23,24.58758,71.96844,150.2328644,181.6248169,151.1966553,113.5439758,160.2637329,107.7620239,109.9925232,111.148941
24,24.58758,72.04807,144.6105194,175.1475525,146.9933624,116.3193054,180.7384644,121.2385254,87.78025055,111.8161621
25,24.58758,72.12769,45.69966888,68.10134888,68.45948792,46.83990097,58.86828613,57.55020905,77.210495,86.27101898
26,24.58758,72.20732,24.97690392,55.40797806,63.78116608,37.2959404,47.14842224,37.48082733,42.75498581,44.64852142
27,24.58758,72.28694,19.92323303,43.96218491,30.96070862,28.95754051,42.31676865,34.80891418,27.09572029,41.31939697
28,24.58758,72.36657,6.596181393,9.022956848,3.97533679,4.651710987,5.451403141,4.558710575,3.248904228,4.003596783
29,24.50698,71.25181,0.14898251,0.44225198,0.175578073,0.224422753,0.201871529,0.198033258,0.316811502,0.241195455
30,24.50698,71.33144,33.44884491,35.71368027,32.15140533,26.31920052,40.71194458,27.70918274,25.035532,29.89868927
31,24.50698,71.41106,65.62121582,122.1017151,129.0817566,68.21733856,98.81609344,84.30096436,87.5641098,100.9010086
32,24.50698,71.49069,121.0332336,177.7386169,170.0796509,111.8134308,164.9772644,118.1409836,150.813324,134.183136
33,24.50698,71.57031,117.2946014,127.3538666,130.9736633,104.6450043,144.2930603,108.879837,132.3540192,163.1720581
34,24.50698,71.64994,121.5485306,161.664505,166.5551605,101.8936081,143.0532074,87.45465851,117.1153717,134.410141
35,24.50698,71.72956,102.3113708,169.7710419,160.1176453,89.57714844,140.0508575,92.18669891,98.37117767,112.1739349
36,24.50698,71.80919,136.3761597,153.3920288,148.2762909,142.3541718,203.7337341,169.9274139,166.2753143,155.4946289
37,24.50698,71.88882,141.9011383,184.5349426,135.4009399,137.3055115,186.3474884,123.8763123,131.4788666,174.4985199
38,24.50698,71.96844,77.37073517,107.5505753,83.13499451,83.85520935,105.5417175,76.52786255,102.0719376,112.5465164
